Model,DPO2004B,,,
Firmware Version,1.56,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,1.60E-08,,,
Filter Frequency,7.00E+07,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-2.02E-04,-0.004,0.012,-0.0028,0.0116
-2.02E-04,0.004,-0.004,0.0004,-0.006
-2.02E-04,0.004,0.004,-0.0028,0.006
-2.02E-04,-0.004,-0.012,-0.0012,-0.0036
-2.02E-04,-0.004,0.012,-0.0004,0.002
-2.02E-04,-0.004,-0.012,-0.0076,-0.0044
-2.02E-04,-0.004,0.012,0.0028,0.0036
-2.02E-04,0.004,-0.012,0.0044,-0.0084
-2.02E-04,0.004,0.012,0.002,0.0052
-2.02E-04,0.004,-0.004,-0.0004,-0.0068
-2.02E-04,0.004,0.012,0.0028,0.0052
-2.02E-04,0.012,-0.004,0.0036,-0.002
-2.02E-04,-0.004,0.004,0.0028,0.0028
-2.02E-04,0.004,-0.004,0.0028,-0.0012
-2.02E-04,-0.004,0.012,0.002,0.0052
-2.01E-04,0.004,-0.004,0.0044,-0.0004
-2.01E-04,0.004,0.012,0.006,0.0036
-2.01E-04,0.004,-0.004,0.0012,-0.0052
-2.01E-04,0.004,0.012,0.0012,0.0068
-2.01E-04,0.004,-0.004,0.0028,-0.002
-2.01E-04,0.004,0.012,0.002,0.006
-2.01E-04,0.004,0.004,0.006,0.0004
-2.01E-04,-0.004,0.012,0.0004,0.0036
-2.01E-04,0.004,-0.004,0.002,-0.0004
-2.01E-04,0.004,0.012,0.0028,0.0092
-2.01E-04,0.004,-0.004,0.002,0.0004
-2.01E-04,0.004,0.012,-0.0004,0.006
-2.01E-04,-0.004,-0.004,0.0004,-0.0004
-2.01E-04,0.004,0.012,0.0044,0.0044
-2.01E-04,0.004,-0.004,-0.0028,-0.0052
-2.01E-04,0.004,0.012,0.0004,0.0108
-2.01E-04,0.004,-0.004,-0.0028,-0.0028
-2.01E-04,0.004,0.012,0.0028,0.0108
-2.01E-04,0.004,-0.004,0.0036,-0.0052
-2.01E-04,-0.004,0.012,0.002,0.0092
-2.01E-04,-0.004,-0.004,0.0004,-0.0036
-2.01E-04,-0.004,0.012,0.0012,0.01
-2.01E-04,-0.004,-0.004,-0.0028,-0.002
-2.01E-04,0.004,0.004,0.0028,0.002
-2.01E-04,-0.004,-0.004,-0.0004,-0.0084
-2.01E-04,0.004,0.012,-0.002,0.006
-2.01E-04,-0.004,-0.004,-0.0036,-0.006
-2.01E-04,-0.004,0.012,0.006,0.0028
-2.01E-04,-0.004,-0.004,-0.0012,-0.006
-2.01E-04,-0.012,0.012,-0.0028,0.006
-2.01E-04,-0.004,-0.012,-0.0028,-0.0092
-2.01E-04,-0.004,0.012,-0.002,0.0052
-2.01E-04,-0.004,-0.004,0.0036,-0.0044
-2.01E-04,-0.012,0.012,0.0004,-0.0004
-2.01E-04,-0.004,-0.012,-0.0076,-0.0132
-2.01E-04,-0.012,0.012,-0.0044,0.0036
-2.01E-04,-0.004,-0.012,-0.0028,-0.0084
-2.01E-04,-0.004,0.012,-0.002,0.0004
-2.01E-04,0.012,-0.004,-0.0068,-0.006
-2.01E-04,0.004,0.012,-0.0004,-0.0012
-2.01E-04,0.004,-0.012,-0.002,-0.0068
-2.01E-04,-0.004,0.012,-0.002,0.0036
-2.01E-04,0.004,-0.004,-0.002,-0.0052
-2.01E-04,0.004,0.012,-0.0124,0.002
-2.01E-04,-0.004,-0.004,-0.002,-0.0132
-2.01E-04,-0.004,0.004,0.002,0.0036
-2.01E-04,0.004,-0.012,0.0004,-0.0116
-2.01E-04,-0.004,0.012,-0.0012,0.0044
-2.01E-04,-0.004,-0.004,0.0028,-0.0028
-2.01E-04,-0.004,0.004,0.0036,0.0012
-2.01E-04,-0.004,-0.004,0.002,-0.0068
-2.01E-04,-0.004,0.012,-0.0012,0.0068
-2.01E-04,-0.004,-0.004,-0.002,-0.006
-2.01E-04,-0.004,0.012,0.0036,0.0052
-2.01E-04,-0.004,-0.004,0.0084,-0.0028
-2.01E-04,0.004,0.004,-0.0004,0.0036
-2.01E-04,0.004,-0.004,-0.002,-0.0116
-2.01E-04,0.004,0.012,-0.0028,0.0084
-2.01E-04,0.004,-0.004,0.0028,-0.006
-2.01E-04,0.004,0.012,0.0012,0.0028
-2.01E-04,0.004,0.004,-0.0052,-0.0044
-2.01E-04,0.012,0.004,-0.0036,0.0124
-2.00E-04,0.004,-0.004,0.0004,-0.006
-2.00E-04,0.004,0.012,-0.0076,0.0076
-2.00E-04,0.004,-0.004,-0.01,-0.0124
-2.00E-04,0.012,0.012,-0.0028,0.0108
-2.00E-04,0.004,-0.004,0.0108,-0.0116
-2.00E-04,0.004,0.012,0.0124,0.0132
-2.00E-04,0.004,-0.004,0.0076,-0.0148
-2.00E-04,0.004,0.012,-0.0004,0.018
-2.00E-04,0.004,-0.004,0.0028,-0.0068
-2.00E-04,-0.004,0.012,0.0044,0.0116
-2.00E-04,-0.004,-0.004,0.002,-0.002
-2.00E-04,0.004,0.012,0.002,0.0084
-2.00E-04,0.004,-0.004,0.0028,-0.002
-2.00E-04,0.012,0.012,0.0076,0.006
-2.00E-04,0.004,-0.004,0.006,-0.0076
-2.00E-04,0.004,0.012,0.002,0.0076
-2.00E-04,-0.004,-0.004,0.0012,-0.0044
-2.00E-04,0.004,0.012,0.002,0.01
-2.00E-04,0.004,-0.004,0.0092,-0.0004
-2.00E-04,0.004,0.012,-0.002,0.0068
-2.00E-04,0.012,-0.004,-0.0004,-0.0052
-2.00E-04,0.004,0.012,0.0028,0.0116
-2.00E-04,0.004,-0.004,0.0028,-0.0028
-2.00E-04,0.004,0.012,0.0036,0.0084
-2.00E-04,-0.004,-0.004,-0.002,0.0004
-2.00E-04,0.004,0.012,-0.002,0.0076
-2.00E-04,0.004,-0.004,0.002,-0.0076
-2.00E-04,0.004,0.012,0.0028,0.0092
-2.00E-04,0.004,-0.004,-0.0028,-0.0012
-2.00E-04,0.012,0.012,-0.0028,0.0052
-2.00E-04,-0.004,-0.004,0.0052,-0.006
-2.00E-04,0.004,0.012,0.0036,0.0108
-2.00E-04,0.004,-0.004,0.0004,-0.0052
-2.00E-04,-0.004,0.012,-0.0012,0.0052
-2.00E-04,0.004,-0.004,-0.0052,-0.0036
-2.00E-04,0.004,0.004,0.0068,0.0028
-2.00E-04,-0.004,-0.004,0.0068,-0.01
-2.00E-04,-0.004,0.012,0.0004,0.0092
-2.00E-04,-0.004,-0.004,-0.0012,-0.0076
-2.00E-04,-0.004,0.012,0.0124,0.0084
-2.00E-04,-0.004,-0.004,0.0076,-0.01
-2.00E-04,0.004,0.004,-0.0036,0.0124
-2.00E-04,-0.004,-0.004,-0.0004,-0.0156
-2.00E-04,-0.004,0.012,-0.0004,0.0116
-2.00E-04,0.004,-0.004,0.0036,-0.0052
-2.00E-04,-0.004,0.004,0.0004,0.0004
-2.00E-04,-0.004,-0.004,-0.0092,-0.0108
-2.00E-04,-0.004,0.012,-0.006,0.0068
-2.00E-04,-0.004,-0.004,-0.0004,-0.0108
-2.00E-04,0.004,0.004,-0.0004,0.006
-2.00E-04,0.012,-0.004,-0.0068,-0.0052
-2.00E-04,0.004,0.004,-0.002,0.0036
-2.00E-04,0.004,-0.004,-0.0012,-0.0076
-2.00E-04,0.004,0.02,-0.002,0.0076
-2.00E-04,0.004,-0.012,-0.002,-0.002
-2.00E-04,0.004,0.012,-0.01,0.002
-2.00E-04,0.012,-0.012,-0.0028,-0.01
-2.00E-04,0.012,0.012,0.0044,0.006
-2.00E-04,0.012,-0.012,0.0028,-0.01
-2.00E-04,0.004,0.012,-0.0004,0.0068
-2.00E-04,-0.004,-0.004,0.0004,-0.002
-2.00E-04,-0.004,0.012,0.0036,0.0036
-2.00E-04,-0.004,-0.004,0.002,-0.0044
-1.99E-04,-0.004,0.02,0.0012,0.0108
-1.99E-04,-0.004,-0.004,0.0012,-0.0036
-1.99E-04,0.004,0.012,0.0036,0.0044
-1.99E-04,-0.004,-0.004,0.0092,0.0004
-1.99E-04,0.004,0.012,0.0044,0.0036
-1.99E-04,0.004,-0.004,-0.0004,-0.0068
-1.99E-04,0.004,0.012,0.0012,0.0092
-1.99E-04,0.004,-0.004,0.0036,-0.0036
-1.99E-04,0.004,0.012,0.006,0.0076
-1.99E-04,0.004,-0.004,-0.0012,-0.002
-1.99E-04,0.004,0.012,0.002,0.0116
-1.99E-04,0.004,-0.004,0.0036,-0.0036
-1.99E-04,0.004,0.012,0.0052,0.0076
-1.99E-04,0.004,-0.004,0.0028,0.0004
-1.99E-04,0.004,0.012,0.0028,0.0052
-1.99E-04,0.004,-0.004,0.0012,-0.0044
-1.99E-04,0.004,0.012,0.0052,0.0084
-1.99E-04,0.004,-0.004,0.0044,-0.0036
-1.99E-04,-0.004,0.012,-0.0044,0.01
-1.99E-04,0.004,-0.004,-0.0004,-0.0052
-1.99E-04,0.004,0.012,0.002,0.0084
-1.99E-04,-0.004,-0.004,0.0036,-0.0044
-1.99E-04,-0.004,0.012,0.0108,0.0148
-1.99E-04,0.004,-0.004,0.014,-0.0028
-1.99E-04,-0.004,0.012,0.0116,0.0108
-1.99E-04,0.004,-0.004,0.0172,-0.0132
-1.99E-04,0.004,0.012,0.0028,0.0148
-1.99E-04,-0.004,-0.004,-0.0052,-0.0164
-1.99E-04,-0.004,0.012,-0.0028,0.018
-1.99E-04,0.004,-0.004,0.0076,-0.0116
-1.99E-04,0.004,0.012,0.0004,0.0132
-1.99E-04,0.012,-0.004,0.0028,-0.0028
-1.99E-04,0.004,0.012,0.0012,0.0076
-1.99E-04,0.004,-0.012,0.0012,-0.002
-1.99E-04,0.004,0.012,0.0036,0.0036
-1.99E-04,-0.004,-0.012,-0.0004,-0.0004
-1.99E-04,0.004,0.012,-0.0044,0.0036
-1.99E-04,0.004,-0.012,0.0004,-0.006
-1.99E-04,-0.004,0.012,0.0012,0.0052
-1.99E-04,0.004,-0.004,-0.0028,-0.0036
-1.99E-04,0.004,0.012,-0.006,0.0044
-1.99E-04,-0.004,-0.004,0.002,-0.006
-1.99E-04,0.004,0.012,0.002,0.0076
-1.99E-04,-0.004,-0.004,-0.0012,-0.0044
-1.99E-04,-0.004,0.012,-0.0012,0.0036
-1.99E-04,0.012,-0.004,-0.006,-0.002
-1.99E-04,0.004,0.012,0.0012,0.0012
-1.99E-04,-0.004,-0.004,0.0036,-0.0068
-1.99E-04,-0.004,0.012,-0.0004,0.0052
-1.99E-04,-0.004,-0.004,-0.0012,-0.006
-1.99E-04,-0.004,0.004,0.0052,0.0044
-1.99E-04,-0.004,-0.004,0.002,-0.0036
-1.99E-04,0.004,0.004,-0.0004,0.0052
-1.99E-04,0.004,-0.004,-0.0004,-0.0068
-1.99E-04,0.004,0.012,0.0004,0.0076
-1.99E-04,0.004,-0.004,0.0012,-0.002
-1.99E-04,-0.004,0.012,0.0068,0.0012
-1.99E-04,-0.004,-0.004,-0.0036,-0.0076
-1.99E-04,0.004,0.012,-0.0028,0.0068
-1.99E-04,0.004,-0.004,0.0036,-0.0052
-1.99E-04,0.004,0.012,-0.0004,0.0092
-1.99E-04,0.004,-0.004,-0.0084,-0.0028
-1.98E-04,0.004,0.012,-0.0036,0.0036
-1.98E-04,-0.004,-0.004,-0.0012,-0.0132
-1.98E-04,0.004,0.012,-0.0004,0.0132
-1.98E-04,0.004,-0.004,-0.0004,-0.0036
-1.98E-04,0.012,0.012,-0.0012,0.0052
-1.98E-04,0.012,-0.004,0.0028,-0.0012
-1.98E-04,0.004,0.012,0.0076,0.0052
-1.98E-04,0.004,-0.004,0.0044,-0.0044
-1.98E-04,0.004,0.012,0.002,0.0076
-1.98E-04,-0.004,-0.004,0.0004,-0.0028
-1.98E-04,-0.004,0.012,0.006,0.0076
-1.98E-04,-0.004,-0.004,0.0068,-0.0036
-1.98E-04,-0.004,0.02,0.002,0.0092
-1.98E-04,0.004,-0.004,0.0036,-0.0012
-1.98E-04,-0.004,0.012,0.0036,0.0068
-1.98E-04,-0.012,-0.004,0.0052,-0.0004
-1.98E-04,-0.004,0.012,0.0052,0.0036
-1.98E-04,-0.004,-0.012,0.0004,-0.006
-1.98E-04,-0.004,0.02,0.0004,0.0092
-1.98E-04,-0.004,-0.012,0.002,-0.002
-1.98E-04,0.004,0.02,0.0076,0.0052
-1.98E-04,0.004,-0.004,-0.0012,-0.002
-1.98E-04,0.004,0.012,-0.002,0.0092
-1.98E-04,0.004,-0.004,-0.0012,-0.0052
-1.98E-04,0.004,0.012,-0.0004,0.0052
-1.98E-04,0.004,-0.004,0.0028,-0.002
-1.98E-04,0.004,0.012,-0.002,0.0012
-1.98E-04,0.004,-0.004,-0.0036,-0.0068
-1.98E-04,0.004,0.012,0.002,0.006
-1.98E-04,0.004,-0.004,0.0004,-0.0052
-1.98E-04,0.004,0.012,-0.002,0.0036
-1.98E-04,0.004,-0.004,-0.0044,-0.0044
-1.98E-04,-0.004,0.012,0.0028,0.002
-1.98E-04,-0.004,-0.004,-0.0004,-0.006
-1.98E-04,0.004,0.012,-0.0004,0.0044
-1.98E-04,-0.004,-0.004,-0.002,-0.0044
-1.98E-04,-0.004,0.012,-0.01,0.0036
-1.98E-04,-0.004,-0.004,0.0044,-0.0124
-1.98E-04,-0.004,0.012,0.0028,0.0052
